character,delay,lifetime,text
hamster,0,4,"햄스터 상태에서 쓸 수 있는 와이어를 얻었어."
hamster,2,4,"주황색으로 표시되는 물체를 잡아당길 수 있을 것 같아."
hamster,4,4,"서랍 등을 열 때 쓸 수 있겠어. $r$shift$/r$와 같이 쓰면 더 세게 당길 수 있을 것 같아."
radio,4,4,"햄스터 요원, 좋은 물건을 얻었군. 하지만 그것만으로는 문을 열 수 없겠어."
radio,4,4,"이 집은 <i>바깥에서 잠기는 구조</i>라서 말이야."
hamster,2,4,"아이 방을 그런 식으로 만든다는 건..."
radio,4,4,"그래, 맞아. <b>그 자</b>가 뭔가 숨기는 게 있어서겠지."
radio,4,4,"하지만 걱정하지 않아도 괜찮아. 방금 이 집 보안의 취약점을 발견했거든."
radio,4,4,"바로 <b>로봇청소기</b>야. 로봇청소기를 해킹해서 보안상의 우선순위를 가장 높게 만들어놨어."
radio,4,4,"방을 어지럽혀서 로봇청소기를 불러낼 수만 있다면 잠금이 알아서 해제된다는 말이지."
hamster,4,4,"그렇군요. 적절한 물체를 찾아보겠습니다."
hamster,4,4,"\(문을 열기 위해서 다음 체크포인트가 있는 곳으로 가자.\)"
